id,agentURL,price,addr,daftURL,longitude,latitude
23,https://www.daft.ie/dublin/estate-agents/dublin-2/kennedywilson/,"€2,300 Per month","Vantage By Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/leopardstown/vantage-by-kennedy-wilson-central-park-leopardst-leopardstown-dublin-1893587/,-6.203661,53.270417
24,NULL,€750 Per week,"Shelbourne Road Apartments, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/dublin-4/shelbourne-road-apartments-ballsbridge-dublin-4-dublin-1891755/,-6.233551,53.33682
25,https://www.daft.ie/dublin/estate-agents/rathmines/dnggillespielowe/,"€2,000 Per month","Iveragh Road, Whitehall, Dublin 9",http://www.daft.ie/dublin/houses-for-rent/whitehall/iveragh-road-whitehall-dublin-1890051/,-6.250455,53.38266
26,https://www.daft.ie/dublin/estate-agents/blackrock/McMahonOConnorResidential/,"€2,600 Per month","Francis Street, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/dublin-8/francis-street-dublin-8-dublin-1897605/,-6.273518,53.339597
27,https://www.daft.ie/dublin/estate-agents/templeogue/junemcconnell/,"€2,295 Per month","Orwell Hall, Marianella, Rathgar, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/rathgar/orwell-hall-marianella-rathgar-dublin-1886737/,-6.270982,53.308669
28,https://www.daft.ie/dublin/estate-agents/drumcondra/movehome_santry/,"€1,950 Per month","214 The Distillery, Distillery Road, Fairview, Dublin 3",http://www.daft.ie/dublin/apartments-for-rent/fairview/214-the-distillery-distillery-road-fairview-dublin-1897846/,-6.248735,53.36377
29,https://www.daft.ie/dublin/estate-agents/smithfield/IRES/,"€2,200 Per month","804 The Maple,Beacon South Quarter, Sandyford, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/sandyford/227-the-maplebeacon-south-quarter-sandyford-dublin-1872083/,-6.217836,53.276874
30,https://www.daft.ie/dublin/estate-agents/smithfield/IRES/,"€2,300 Per month","532 The Maple,Beacon South Quarter, Sandyford, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/sandyford/532-the-maplebeacon-south-quarter-sandyford-dublin-1885942/,-6.218361,53.277023
31,https://www.daft.ie/dublin/estate-agents/smithfield/IRES/,"€3,535 Per month","30 The Marker Residence, Grand Canal Dock, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/grand-canal-dock/30-the-marker-residence-grand-canal-dock-dublin-1876303/,-6.238491,53.344855
32,https://www.daft.ie/dublin/estate-agents/smithfield/IRES/,"€3,000 Per month","The Marker Residence, Grand Canal Dock, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/grand-canal-dock/the-marker-residence-grand-canal-dock-dublin-1878878/,-6.238368,53.345364
33,https://www.daft.ie/dublin/estate-agents/sandyford/morrisonestates/,"€3,800 Per month","Belarmine Park, Stepaside, Dublin 18",http://www.daft.ie/dublin/houses-for-rent/stepaside/belarmine-park-stepaside-dublin-1892632/,-6.219858,53.258522
34,https://www.daft.ie/dublin/estate-agents/dublin-7/capelabbey/,"€1,450 Per month","Adelaide Road, Dublin 2",http://www.daft.ie/dublin/flats-for-rent/dublin-2/adelaide-road-dublin-2-dublin-1893309/,-6.259905,53.332899
35,https://www.daft.ie/dublin/estate-agents/dublin-2/hlea/,"€7,000 Per month","Vico Terrace, Vico Road, Dalkey, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/dalkey/vico-terrace-vico-road-dalkey-dublin-1895190/,-6.096333,53.270564
36,https://www.daft.ie/dublin/estate-agents/dublin-2/SherboroughPropertiesLimited/,"€2,800 Per month","Cathedral Court, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/cathedral-court-dublin-2-dublin-1871699/,-6.272831,53.337291
37,https://www.daft.ie/dublin/estate-agents/dublin-2/SherboroughPropertiesLimited/,"€2,250 Per month","Cathedral Court, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/cathedral-court-dublin-2-dublin-1871715/,-6.272872,53.33728
38,https://www.daft.ie/dublin/estate-agents/castleknock/satisproperty/,"€2,700 Per month","Geraldine Street, Dublin 7",http://www.daft.ie/dublin/houses-for-rent/dublin-7/geraldine-street-dublin-7-dublin-1892848/,-6.269755,53.357689
39,NULL,"€1,900 Per month","Clogher Road, Crumlin, Dublin 12",http://www.daft.ie/dublin/houses-for-rent/crumlin/clogher-road-crumlin-dublin-1891096/,-6.291244,53.327143
40,https://www.daft.ie/dublin/estate-agents/dublin-4/lisney_leeson_st/,"€4,750 Per month","Woodside Drive, Rathfarnham, Dublin 14",http://www.daft.ie/dublin/houses-for-rent/rathfarnham/woodside-drive-rathfarnham-dublin-1855713/,-6.272368,53.301682
41,/agent.daft?id=10744&p=wpvypwpr,"€2,600 Per month","Longford House Spencer Dock, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/longford-house-spencer-dock-dublin-1-dublin-1891240/,-6.239034,53.350269
42,NULL,"€2,750 Per month","North Great George'S Street, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/north-great-georges-street-dublin-1-dublin-1897377/,-6.262243,53.354492
43,NULL,"€2,200 Per month","Gateway Student Villagew, Ballymun, Dublin 9",http://www.daft.ie/dublin/apartments-for-rent/ballymun/gateway-student-villagew-ballymun-dublin-1895653/,-6.26361,53.392298
44,https://www.daft.ie/dublin/estate-agents/ballsbridge/embassyestates/,"€1,792 Per month","Bushy Park House, Terenure, Dublin 6W",http://www.daft.ie/dublin/apartments-for-rent/terenure/bushy-park-house-terenure-dublin-1895744/,-6.295053,53.300416
45,https://www.daft.ie/dublin/estate-agents/ballsbridge/embassyestates/,"€4,000 Per month","Herbert Park Lane, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/herbert-park-lane-ballsbridge-dublin-1894145/,-6.232358,53.327021
46,NULL,"€2,600 Per month","99 Inchicore Rd., Kilmainham, Dublin 8",http://www.daft.ie/dublin/houses-for-rent/kilmainham/99-inchicore-rd-kilmainham-dublin-1894199/,-6.31589,53.341842
47,NULL,"€4,000 Per month","Hanover Riverside, Grand Canal Dock, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/grand-canal-dock/hanover-riverside-grand-canal-dock-dublin-1894290/,-6.237953,53.345777
48,https://www.daft.ie/dublin/estate-agents/dublin-2/scandik/,€850 Per week,"Adelaide Square, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/adelaide-square-dublin-2-dublin-1892508/,-6.267881,53.339854
49,NULL,"€2,100 Per month","Inglenook Wood, Glenamuck Road, Carrickmines, Carrickmines, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/carrickmines/inglenook-wood-glenamuck-road-carrickmines-carrickmines-dublin-1895552/,-6.185211,53.245062
