id,agentURL,price,addr,daftURL,longitude,latitude,overviews,city_center_distance,dwelling_type
1162,https://www.daft.ie/dublin/estate-agents/balbriggan/emgpropertyconsultants/,"€1,400 Per month","Castleland Court, Balbriggan, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/balbriggan/castleland-court-balbriggan-dublin-1924447/,-6.177062,53.604292,"Unfurnished, 3 Bedrooms (2 double, 1 twin), 2 Bathrooms",29.1,"House to Rent"
1163,NULL,"€1,800 Per month","Ashcroft., Raheny, Dublin 5",http://www.daft.ie/dublin/houses-for-rent/raheny/ashcroft-raheny-dublin-1928495/,-6.173107,53.383460,"Furnished, 2 Bedrooms (1 single, 1 double), 1 Bathroom",7,"House to Rent"
1164,https://www.daft.ie/dublin/estate-agents/fairview/dublinpropertymanagement/,"€1,000 Per month","North Circular Road (Pheonix Park End), Dublin 7",http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-7/north-circular-road-pheonix-park-end-dublin-7-dublin-1929877/,-6.293122,53.355369,,2.4,"Studio apartment to Rent"
1165,https://www.daft.ie/dublin/estate-agents/rathgar/brackenestates/,"€1,500 Per month","Apartment 63, 16 Kings Inn Street, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/apartment-63-16-kings-inn-street-dublin-1-dublin-1929348/,-6.266594,53.350935,"Furnished, 1 Bedroom (1 double), 1 Bathroom",0.6,"Apartment to Rent"
1166,https://www.daft.ie/dublin/estate-agents/dublin-7/HJBYRNEC/,"€1,350 Per month","Hanbury Hall, Hanbury Lane, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/dublin-8/hanbury-hall-hanbury-lane-dublin-8-dublin-1929023/,-6.279538,53.342295,"Furnished, 1 Bedroom (1 double), 1 Bathroom",1.5,"Apartment to Rent"
1167,https://www.daft.ie/dublin/estate-agents/dublin-7/HJBYRNEC/,"€850 Per month","Conyngham Road, Dublin 7",http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-7/conyngham-road-dublin-7-dublin-1929022/,-6.297739,53.348149,,2.6,"Studio apartment to Rent"
1168,https://www.daft.ie/dublin/estate-agents/rathmines/gillespielowe/,"€1,244 Per month","Highfield Court, Rathgar, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/rathgar/highfield-court-rathgar-dublin-1927241/,-6.271377,53.312310,"Furnished, 1 Bedroom (1 double), 1 Bathroom",4,"Apartment to Rent"
1169,https://www.daft.ie/dublin/estate-agents/rathmines/gillespielowe/,"€3,000 Per month","Clarence Street, Dun Laoghaire, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/dun-laoghaire/clarence-street-dun-laoghaire-dublin-1929153/,-6.142617,53.295270,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",9.7,"Apartment to Rent"
1170,https://www.daft.ie/dublin/estate-agents/rathmines/gillespielowe/,"€3,500 Per month","Leeson Street, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/leeson-street-dublin-2-dublin-1926992/,-6.253575,53.332869,"Furnished, 3 Bedrooms (3 double), 2 Bathrooms",1.6,"Apartment to Rent"
1171,https://www.daft.ie/dublin/estate-agents/rathmines/gillespielowe/,"€1,800 Per month","Burnell Court, Clarehall, Dublin 17",http://www.daft.ie/dublin/apartments-for-rent/clarehall/burnell-court-clarehall-dublin-1926859/,-6.178918,53.403819,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",8.3,"Apartment to Rent"
1172,https://www.daft.ie/dublin/estate-agents/rathmines/gillespielowe/,"€1,350 Per month","23 York Road, Rathmines, Dublin 6",http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/23-york-road-rathmines-dublin-1923310/,-6.268152,53.318177,,3.3,"Studio apartment to Rent"
1173,https://www.daft.ie/dublin/estate-agents/rathmines/gillespielowe/,"€1,300 Per month","York Road, Rathmines, Dublin 6",http://www.daft.ie/dublin/studio-apartments-for-rent/rathmines/york-road-rathmines-dublin-1928755/,-6.268229,53.317995,,3.3,"Studio apartment to Rent"
1174,NULL,"€1,400 Per month","7 Carrigmore Crescent, Citywest, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/citywest/7-carrigmore-crescent-citywest-dublin-1928088/,-6.430148,53.280974,"Furnished or unfurnished, 1 Bedroom (1 double), 1 Bathroom",13.6,"Apartment to Rent"
1175,https://www.daft.ie/kildare/estate-agents/johnstown/comer/,"€1,800 Per month","1 Bedroom Apartment, Island Key, East Wall, Dublin 3",http://www.daft.ie/dublin/apartments-for-rent/east-wall/1-bedroom-apartment-island-key-east-wall-dublin-1843584/,-6.229569,53.353101,"Furnished, 1 Bedroom (1 double), 1 Bathroom",2.1,"Apartment to Rent"
1176,https://www.daft.ie/kildare/estate-agents/johnstown/comer/,"€2,200 Per month","Block 1",http://www.daft.ie/dublin/apartments-for-rent/east-wall/block-1-island-key-east-wall-dublin-1929998/,-6.229869,53.353011,"Furnished, 2 Bedrooms (2 single), 2 Bathrooms",2.1,"Apartment to Rent"
1177,https://www.daft.ie/kildare/estate-agents/johnstown/comer/,"€1,550 Per month","(2) Tallaght Cross East, Tallaght, Dublin 24",http://www.daft.ie/dublin/apartments-for-rent/tallaght/2-tallaght-cross-east-tallaght-dublin-1860831/,-6.374419,53.288012,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",10.1,"Apartment to Rent"
1178,https://www.daft.ie/kildare/estate-agents/johnstown/comer/,"€1,800 Per month","Milners Square, Santry, Dublin 9",http://www.daft.ie/dublin/apartments-for-rent/santry/milners-square-santry-dublin-1868098/,-6.251300,53.389205,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",4.7,"Apartment to Rent"
1179,https://www.daft.ie/kildare/estate-agents/johnstown/comer/,"€1,350 Per month","(1) Tallaght Cross East, Tallaght, Dublin 24",http://www.daft.ie/dublin/apartments-for-rent/tallaght/1-tallaght-cross-east-tallaght-dublin-1830397/,-6.374385,53.287941,"Furnished, 1 Bedroom (1 double), 1 Bathroom",10.2,"Apartment to Rent"
1180,NULL,"€1,550 Per month","23 Willow Glen, Carrickmines, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/carrickmines/23-willow-glen-carrickmines-dublin-1929962/,-6.187750,53.245122,"Furnished, 1 Bedroom (1 double), 1 Bathroom",12.3,"Apartment to Rent"
1181,NULL,"€2,240 Per month","62 Terenure Rd East, Terenure, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/terenure/62-terenure-rd-east-terenure-dublin-1930083/,-6.279520,53.310995,"Furnished, 2 Bedrooms (2 twin), 2 Bathrooms",4.2,"Apartment to Rent"
1182,NULL,"€1,800 Per month","Castleview, Swords, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/swords/castleview-swords-dublin-1930085/,-6.239094,53.472684,"Furnished or unfurnished, 2 Bedrooms (2 double), 1 Bathroom",14,"House to Rent"
1183,NULL,"€5,000 Per week","32 North Circular Road, North Circular Road, Dublin 1",http://www.daft.ie/dublin/houses-for-rent/north-circular-road/32-north-circular-road-north-circular-road-dublin-1921449/,-6.296504,53.352899,"Unfurnished, 11 Bedrooms (1 single, 10 double), 9 Bathrooms",2.6,"House to Rent"
1184,NULL,"€2,200 Per month","Llewellyn, Rathfarnham, Dublin 14",http://www.daft.ie/dublin/houses-for-rent/rathfarnham/llewellyn-rathfarnham-dublin-1930084/,-6.283752,53.287582,"Furnished, 3 Bedrooms (1 single, 2 double), 1 Bathroom",6.8,"House to Rent"
1185,NULL,"€2,000 Per month","Hartstown, Clonsilla, Dublin 15",http://www.daft.ie/dublin/houses-for-rent/clonsilla/hartstown-clonsilla-dublin-1927358/,-6.423039,53.389398,"Furnished, 3 Bedrooms (1 single, 2 double), 1 Bathroom",11.9,"House to Rent"
1186,NULL,"€1,600 Per month","Allendale Square, Clonsilla, Dublin 15",http://www.daft.ie/dublin/apartments-for-rent/clonsilla/allendale-square-clonsilla-dublin-1930077/,-6.427307,53.385819,"Furnished, 2 Bedrooms (2 double), 1 Bathroom",12,"Apartment to Rent"
1187,NULL,"€2,100 Per month","Highgrove Mount Talbot, Ballymount, Dublin 12",http://www.daft.ie/dublin/apartments-for-rent/ballymount/highgrove-mount-talbot-ballymount-dublin-1926777/,-6.371790,53.318569,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",8.1,"Apartment to Rent"
1188,NULL,"€1,200 Per month","43 Westbourne Park, Clondalkin, Dublin 22",http://www.daft.ie/dublin/apartments-for-rent/clondalkin/43-westbourne-park-clondalkin-dublin-1930072/,-6.400042,53.327529,"Furnished, 1 Bedroom (1 double), 1 Bathroom",9.6,"Apartment to Rent"
