time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-29T19:52:04.420Z,38.8166667,-122.802,3.5,2.97,ml,74,20,,0.08,nc,nc73174130,2019-04-30T14:50:47.040Z,"6km NW of The Geysers, CA",earthquake,0.12,0.18,0.2,31,reviewed,nc,nc
2019-04-29T19:43:13.640Z,38.8188333,-122.8,3.57,2.87,ml,61,20,0.009093,0.07,nc,nc73174115,2019-04-30T03:18:03.593Z,"6km NW of The Geysers, CA",earthquake,0.13,0.21,0.148,17,reviewed,nc,nc
2019-04-29T19:42:57.650Z,38.8206673,-122.8008347,3.04,2.96,ml,26,50,0.007714,0.03,nc,nc73174105,2019-04-30T00:01:03.123Z,"6km NW of The Geysers, CA",earthquake,0.23,0.47,0.242,7,automatic,nc,nc
2019-04-29T19:18:28.540Z,19.234,-67.7173,77,3.08,md,10,212,0.8823,0.72,pr,pr2019119013,2019-04-30T14:41:37.040Z,"117km NNE of Punta Cana, Dominican Republic",earthquake,5.57,12.47,0.23,8,reviewed,pr,pr
2019-04-29T19:08:57.440Z,19.266,-67.675,30,3.06,md,10,332,0.903,0.26,pr,pr2019119012,2019-04-30T14:38:13.040Z,"93km NE of Punta Cana, Dominican Republic",earthquake,2.48,18.73,0.1,6,reviewed,pr,pr
2019-04-29T19:08:41.087Z,59.2153,-151.3957,26.7,2.5,ml,,,,0.94,ak,ak0195h4bbfe,2019-04-29T19:19:35.323Z,"48km S of Homer, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-29T18:06:47.920Z,47.4112,-113.0933,20.18,2.6,ml,,102,0.32,0.75,us,us70003e60,2019-04-30T14:14:44.040Z,"39km NE of Seeley Lake, Montana",earthquake,1.9,4.4,0.209,15,reviewed,us,mb
2019-04-29T18:02:43.592Z,39.391,26.28,10,4.6,mb,,43,1.503,0.52,us,us70003e5j,2019-04-30T14:36:31.065Z,"9km ENE of Mithymna, Greece",earthquake,5.7,2,0.315,4,reviewed,us,us
2019-04-29T18:02:22.663Z,39.8395,-117.4551,3.6,2.6,ml,10,253.25,0.737,0.1591,nn,nn00683534,2019-04-30T13:57:49.040Z,"50km NW of Austin, Nevada",earthquake,,8,0.25,6,reviewed,nn,nn
2019-04-29T17:46:11.510Z,37.4210014,-118.3681641,6.52,2.93,md,28,123,0.04907,0.06,nc,nc73174035,2019-04-30T02:05:29.428Z,"6km NE of Dixon Lane-Meadow Creek, CA",earthquake,0.32,0.68,0.18,34,automatic,nc,nc
2019-04-29T17:43:17.970Z,40.3033333,-124.3531647,8.99,2.56,md,13,212,0.01693,0.08,nc,nc73174025,2019-04-29T21:50:03.876Z,"6km WSW of Petrolia, CA",earthquake,1.09,0.63,0.05,9,automatic,nc,nc
